Rank,Address,Balance,SharePercent,RewardAmount,IsCapped
1,0x6f25a9e1e677616c1bf7ab54b470b0c82839adb4,42917834,5.00%,500000,true
2,0x54f7283cb364178f0872180e9e661c60e6a63c31,31093376,5.00%,500000,true
3,0x94ba5cfa7b870c104f3441e033cc935ea8f016f1,26655383,5.00%,500000,true
4,0x054528f2e8403bed52461bb61d037fd41fc839f1,17519822,5.00%,500000,true
5,0xda0c060251d9110c53c3e002494d15d4ee8fde21,12650100,5.00%,500000,true
6,0xe500f613ed3cdcbebb01fee138e294370333cf2c,11186775,5.00%,500000,true
7,0x7ae3b30a504e153b2bc8980fe0599882fe9ea671,11017289,5.00%,500000,true
8,0xa253a12971d8da188d0a33f4bc699360ff3261fd,10773555,5.00%,500000,true
9,0xb3c5beb9b12a5b3197ee4c78cae96a711b5296b2,10755357,5.00%,500000,true
10,0x4c91d3bed372c11795b9ce9a9017dfe447bf050a,10572190,5.00%,500000,true
11,0x1d78fb87cc62febe02ca05befcc30e71ca04810c,8509307,5.00%,500000,true
12,0x4ce021795aa70d084bbae996bf9d9adfd5a8fbe5,7890652,5.00%,500000,true
13,0x8b8d77c89d33879e9ad4cf72ed4f4f196358f837,7057765,5.00%,500000,true
14,0xbf004bff64725914ee36d03b87d6965b0ced4903,6044141,4.35%,434557,false
15,0x3c67b9d2da3403efe6a88759a5180995dd33c2a1,5983789,4.30%,430217,false
16,0xf983078505d9f40d7f6b1ec6f2371705b561b2e1,5513680,3.96%,396418,false
17,0x5bfe70557184ae798085e9f9469d57f51dabbcfe,5393450,3.88%,387774,false
18,0x067c66addd3c6d484c1882b68e197b614f7f3ebf,5337016,3.84%,383716,false
19,0x517e74f975f956f36c4fe8bf908525ebeba96f5c,5158982,3.71%,370916,false
20,0xb89c52ea060b1360f924dae174982f01433d88bf,5155192,3.71%,370644,false
21,0xb10d893441b96b9c25231d42591d64cf36484e04,5085135,3.66%,365607,false
22,0x8d5362832f9c12ee75b89c41f890d8ed5095ad08,5009251,3.60%,360151,false
